participant_id	age	sex	handedness	site
sub-HML0275	66.0	Female	Right	003
sub-HML0276	63.0	Male	Right	002
sub-HML0277	78.0	Male	Right	001
sub-HML0279	67.0	Female	Right	003
sub-HML0280	65.0	Male	Left	003
sub-HML0281	65.0	Female	Right	003
sub-HML0282	59.0	Female	Right	001
sub-HML0284	52.0	Female	Right	003
sub-HML0286	55.0	Male	Left	003
sub-HML0287	53.0	Female	Right	003
sub-HML0289	69.0	Female	Right	003
sub-HML0290	54.0	Female	Right	001
sub-HML0291	61.0	Female	Right	004
sub-HML0296	56.0	Female	Left	002
sub-HML0297	64.0	Female	Right	004
sub-HML0299	62.0	Female	Right	003
sub-HML0300	66.0	Male	Right	004
sub-HML0301	52.0	Male	n/a	001
sub-HML0302	61.0	Female	Ambidextrous	003
sub-HML0303	66.0	Female	Right	002
sub-HML0304	53.0	Female	Right	002
sub-HML0305	58.0	Female	Right	002
sub-HML0306	61.0	Female	Left	002
sub-HML0307	64.0	Male	Right	002
sub-HML0308	67.0	Male	Right	001
sub-HML0310	61.0	Male	Right	003
sub-HML0311	54.0	Female	Right	003
sub-HML0312	55.0	Female	Right	002
sub-HML0313	51.0	Female	Right	002
sub-HML0314	71.0	Male	Right	001
sub-HML0315	69.0	Male	Left	001
sub-HML0317	71.0	Male	Right	004
sub-HML0318	70.0	Female	Right	001
sub-HML0319	66.0	Male	Right	001
sub-HML0320	67.0	Female	Left	001
sub-HML0323	69.0	Male	Right	001
sub-HML0324	75.0	Female	Right	002
sub-HML0325	66.0	Male	Right	001
sub-HML0326	69.0	Female	Ambidextrous	002
sub-HML0327	66.0	Male	Right	002
sub-HML0328	68.0	Female	Right	002
sub-HML0329	72.0	Male	Left	001
sub-HML0330	67.0	Female	Right	004
sub-HML0332	59.0	Female	Right	003
sub-HML0334	70.0	Female	Right	002
sub-HML0335	63.0	Female	Right	001
sub-HML0336	74.0	Female	Right	001
sub-HML0337	75.0	Male	Right	002
sub-HML0338	64.0	Female	Right	004
sub-HML0339	79.0	Female	Right	003
sub-HML0340	66.0	Female	Right	003
sub-HML0341	79.0	Male	Right	001
sub-HML0342	69.0	Female	Left	003
sub-HML0343	70.0	Female	Right	004
sub-HML0345	60.0	Female	Right	003
sub-HML0346	65.0	Female	Right	003
sub-HML0347	67.0	Male	Right	004
sub-HML0348	64.0	Female	Right	003
sub-HML0349	51.0	Male	Right	001
sub-HML0350	70.0	Male	Right	001
sub-HML0351	70.0	Female	Right	004
sub-HML0352	62.0	Female	Right	002
sub-HML0354	54.0	Female	Right	003
sub-HML0356	62.0	Female	Right	004
sub-HML0357	55.0	Female	Right	004
sub-HML0359	51.0	Female	Right	002
sub-HML0360	73.0	Male	Right	003
sub-HML0361	70.0	Male	Right	003
sub-HML0362	78.0	Male	Right	003
sub-HML0365	65.0	Female	Right	001
sub-HML0366	74.0	Female	Left	003
sub-HML0368	58.0	Female	Right	003
sub-HML0370	54.0	Female	Right	002
sub-HML0371	61.0	Male	Right	002
sub-HML0372	73.0	Female	Right	001
sub-HML0373	71.0	Female	Right	001
sub-HML0375	65.0	Female	Left	003
sub-HML0376	63.0	Female	Right	004
sub-HML0377	61.0	Female	Right	002
sub-HML0378	72.0	Female	Right	004
sub-HML0379	69.0	Female	Right	004
sub-HML0380	66.0	Male	Right	001
sub-HML0382	61.0	Female	Right	003
sub-HML0383	71.0	Female	Left	003
sub-HML0384	72.0	Female	Right	004
sub-HML0385	77.0	Male	Right	001
sub-HML0386	50.0	Female	Right	003
sub-HML0387	75.0	Female	Right	003
sub-HML0388	73.0	Male	n/a	001
sub-HML0390	79.0	Male	Right	001
sub-HML0391	64.0	Female	Ambidextrous	003
sub-HML0392	55.0	Male	Right	003
sub-HML0393	68.0	Female	Left	002
sub-HML0394	76.0	Male	Right	003
sub-HML0395	69.0	Female	Right	004
sub-HML0397	60.0	Female	Right	002
sub-HML0398	76.0	Male	Right	001
sub-HML0399	53.0	Female	Right	003
sub-HML0400	68.0	Female	Right	002
sub-HML0401	67.0	Male	Left	003
sub-HML0404	54.0	Female	Right	003
sub-HML0406	79.0	Female	Right	003
sub-HML0410	52.0	Female	Right	002
sub-HML0411	63.0	Male	Right	003
sub-HML0412	67.0	Female	Right	002
sub-HML0413	69.0	Female	Right	003
sub-HML0414	71.0	Female	Right	003
sub-HML0415	69.0	Female	Right	003
sub-HML0416	60.0	Female	Right	002
sub-HML0417	75.0	Female	Ambidextrous	002
sub-HML0418	65.0	Female	Right	003
sub-HML0419	73.0	Female	Left	003
sub-HML0420	65.0	Female	Right	003
sub-HML0421	71.0	Male	Right	004
sub-HML0422	65.0	Female	Right	004
sub-HML0423	71.0	Female	Right	003
sub-HML0425	75.0	Male	Right	003
sub-HML0426	76.0	Female	Right	001
sub-HML0427	79.0	Male	Left	001
sub-HML0428	69.0	Male	Left	003
sub-HML0430	73.0	Female	Right	004
sub-HML0432	71.0	Female	Right	003
sub-HML0433	68.0	Male	Right	003
sub-HML0435	54.0	Female	Right	001
sub-HML0436	67.0	Male	Right	001
sub-HML0437	77.0	Male	Ambidextrous	003
sub-HML0439	78.0	Female	Right	004
sub-HML0441	52.0	Female	Right	004
sub-HML0442	60.0	Female	Right	001
sub-HML0443	58.0	Female	Right	002
sub-HML0444	77.0	Female	Right	003
sub-HML0445	70.0	Male	Right	003
sub-HML0446	73.0	Female	Right	004
sub-HML0447	66.0	Female	Right	003
sub-HML0448	67.0	Male	Right	003
sub-HML0449	71.0	Female	Left	004
sub-HML0450	59.0	Female	Right	001
sub-HML0451	69.0	Male	Right	003
sub-HML0454	65.0	Female	Right	003
sub-HML0455	67.0	Female	Right	001
sub-HML0457	56.0	Female	Right	001
sub-HML0458	77.0	Female	Right	004
sub-HML0460	71.0	Female	Right	004
sub-HML0461	57.0	Male	Right	002
sub-HML0463	68.0	Female	Left	004
sub-HML0464	70.0	Female	Right	004
sub-HML0466	77.0	Male	Right	001
sub-HML0467	58.0	Female	Right	001
sub-HML0468	55.0	Female	Right	001
sub-HML0469	67.0	Female	Left	002
sub-HML0470	75.0	Female	Right	003
sub-HML0471	74.0	Male	Left	003
sub-HML0473	54.0	Female	Right	001
sub-HML0474	71.0	Male	Right	001
sub-HML0475	75.0	Female	Right	004
sub-HML0477	65.0	Male	Right	001
sub-HML0478	64.0	Male	Ambidextrous	003
sub-HML0479	67.0	Male	Right	003
sub-HML0480	53.0	Female	Right	003
sub-HML0481	51.0	Female	Right	003
sub-HML0482	60.0	Female	Right	001
sub-HML0483	69.0	Female	Right	002
sub-HML0484	58.0	Male	Right	001
sub-HML0485	77.0	Male	Right	002
sub-HML0486	70.0	Female	Right	002
sub-HML0487	65.0	Female	Right	001
sub-HML0488	50.0	Female	Left	001
sub-HML0489	75.0	Female	Right	002
sub-HML0490	50.0	Female	Right	002
sub-HML0492	56.0	Female	Right	001
sub-HML0493	74.0	Female	Left	001
sub-HML0494	66.0	Female	Right	003
sub-HML0495	67.0	Female	Right	004
sub-HML0496	75.0	Female	Right	003
sub-HML0497	51.0	Female	Right	002
sub-HML0498	54.0	Female	Right	002
sub-HML0499	53.0	Female	Left	001
sub-HML0500	59.0	Female	Left	001
sub-HML0501	62.0	Female	Right	004
sub-HML0502	59.0	Female	Right	001
sub-HML0503	67.0	Female	Left	001
sub-HML0504	69.0	Female	Right	001
sub-HML0505	53.0	Female	Right	004
sub-HML0506	73.0	Male	Right	002
sub-HML0508	54.0	Female	Right	001
sub-HML0509	52.0	Female	Right	001
sub-HML0510	55.0	Female	Right	002
sub-HML0511	61.0	Female	Right	002
sub-HML0513	61.0	Female	Right	002
sub-HML0514	73.0	Female	Right	004
sub-HML0515	70.0	Female	Right	003
sub-HML0516	54.0	Male	Right	004
sub-HML0517	61.0	Male	Right	002
sub-HML0518	62.0	Female	Right	002
sub-HML0519	68.0	Female	Right	003
sub-HML0520	57.0	Female	Right	002
sub-HML0521	78.0	Female	Right	004
sub-HML0522	75.0	Female	Right	004
sub-HML0524	59.0	Female	Right	002
sub-HML0525	73.0	Female	Right	002
sub-HML0527	65.0	Female	Right	001
sub-HML0528	55.0	Female	Right	001
sub-HML0529	56.0	Female	Right	003
sub-HML0531	57.0	Female	Right	003
sub-HML0532	69.0	Male	Left	001
sub-HML0533	52.0	Female	Right	001
sub-HML0534	74.0	Female	Right	002
sub-HML0535	63.0	Male	Right	004
sub-HML0536	62.0	Female	Right	001
sub-HML0538	70.0	Female	Right	001
sub-HML0539	54.0	Female	Right	001
sub-HML0540	66.0	Female	Left	004
sub-HML0541	79.0	Female	Right	001
sub-HML0542	58.0	Female	Right	002
sub-HML0543	59.0	Female	Right	004
sub-HML0544	70.0	Female	Right	001
sub-HML0545	57.0	Female	Right	001
sub-HML0546	52.0	Female	Right	001
sub-HML0547	59.0	Female	Right	001
sub-HML0548	55.0	Female	Right	004
sub-HML0549	53.0	Male	Right	003
sub-HML0550	63.0	Female	Right	001
sub-HML0551	63.0	Female	Right	001
sub-HML0552	61.0	Female	Right	001
sub-HML0553	69.0	Male	Right	004
sub-HML0554	63.0	Male	Right	001
sub-HML0555	58.0	Female	Right	001
sub-HML0556	60.0	Female	Right	004
sub-HML0557	63.0	Female	Right	001
sub-HML0558	72.0	Male	Right	002
sub-HML0560	50.0	Female	Right	003
sub-HML0561	56.0	Female	Right	002
sub-HML0562	77.0	Female	Right	004
sub-HML0563	71.0	Male	Right	002
sub-HML0564	61.0	Female	Right	002
sub-HML0565	72.0	Female	Right	002
sub-HML0566	63.0	Female	Right	004
sub-HML0567	52.0	Female	Right	001
sub-HML0569	57.0	Female	Right	004
sub-HML0570	71.0	Male	Left	002
sub-HML0571	63.0	Female	Right	002
sub-HML0573	65.0	Female	Right	004
sub-HML0574	58.0	Male	Right	002
sub-HML0575	59.0	Female	Right	001
sub-HML0576	70.0	Male	Right	004
sub-HML0577	61.0	Female	Right	001
sub-HML0578	61.0	Male	Right	001
sub-HML0579	76.0	Female	Right	002
sub-HML0580	55.0	Female	Right	004
sub-HML0581	71.0	Female	Right	004
sub-HML0582	65.0	Female	Right	001
sub-HML0583	66.0	Male	Right	002
sub-HML0584	67.0	Female	Right	001
sub-HML0585	60.0	Female	n/a	004
sub-HML0586	64.0	Female	Right	003
sub-HML0587	63.0	Male	Right	003
sub-HML0589	53.0	Male	Left	004
sub-HML0590	58.0	Female	Right	001
sub-HML0592	73.0	Female	Right	002
sub-HML0593	50.0	Female	Right	002
sub-HML0594	53.0	Female	Right	001
sub-HML0595	68.0	Male	Left	003
sub-HML0596	61.0	Female	Right	003
sub-HML0598	66.0	Female	Right	003
sub-HML0600	68.0	Female	Right	004
sub-HML0601	58.0	Female	Right	001
sub-HML0602	61.0	Male	Right	001
sub-HML0603	74.0	Female	Right	004
sub-HML0604	67.0	Male	Right	002
sub-HML0605	69.0	Female	Left	002
sub-HML0607	64.0	Female	Right	002
sub-HML0609	63.0	Male	Right	004
sub-HML0611	65.0	Female	Right	004
sub-HML0612	68.0	Male	Right	004
sub-HML0613	55.0	Male	Right	004
sub-HML0614	53.0	Male	Right	004
sub-HML0616	75.0	Female	Right	002
sub-HML0619	72.0	Male	Left	004
sub-HML0620	60.0	Male	Right	003
sub-HML0621	71.0	Female	Right	002
sub-HML0622	74.0	Female	Ambidextrous	002
sub-HML0624	51.0	Female	Right	001
sub-HML0626	71.0	Female	Right	004
sub-HML0628	53.0	Female	Right	004
sub-HML0629	65.0	Female	Right	002
sub-HML0630	69.0	Male	Right	003
sub-HML0631	71.0	Female	Right	002
sub-HML0632	61.0	Male	Right	002
sub-HML0633	77.0	Female	Right	001
sub-HML0635	52.0	Male	Right	002
sub-HML0636	62.0	Female	Right	001
sub-HML0637	73.0	Male	Right	003
sub-HML0638	55.0	Female	Right	002
sub-HML0640	58.0	Female	Right	004
sub-HML0641	57.0	Female	Right	001
sub-HML0644	64.0	Male	Right	001
sub-HML0645	69.0	Male	Right	002
sub-HML0646	78.0	Male	Right	003
sub-HML0647	71.0	Male	Right	004
sub-HML0648	60.0	Male	Right	003
sub-HML0649	53.0	Female	Left	004
sub-HML0650	60.0	Female	Right	001
sub-HML0651	69.0	Female	Right	004
sub-HML0654	79.0	Female	Right	002
sub-HML0655	59.0	Female	Left	002
sub-HML0656	64.0	Female	Right	002
sub-HML0657	60.0	Male	Right	002
sub-HML0658	61.0	Female	Right	002
sub-HML0659	52.0	Male	Right	002
sub-HML0660	52.0	Female	Right	002
sub-HML0661	63.0	Male	Right	002
sub-HML0662	65.0	Female	Right	002
sub-HML0663	54.0	Female	Ambidextrous	002
sub-HML0664	65.0	Male	Right	004
sub-HML0668	69.0	Female	Ambidextrous	002
sub-HML0669	73.0	Male	Right	002
sub-HML0671	72.0	Male	Right	001
sub-HML0672	67.0	Male	Right	003
sub-HML0675	59.0	Male	Right	001
sub-HML0676	54.0	Female	Right	003
sub-HML0678	64.0	Female	Right	002
sub-HML0681	67.0	Female	Right	002
sub-HML0682	78.0	Female	Right	002
sub-HML0683	56.0	Female	Right	002
sub-HML0684	55.0	Female	Right	002
sub-HML0685	50.0	Male	Left	003
sub-HML0686	70.0	Female	Left	002
sub-HML0687	65.0	Female	Right	004
sub-HML0688	66.0	Male	Right	002
sub-HML0689	79.0	Female	Right	001
sub-HML0690	50.0	Female	Right	001
sub-HML0691	50.0	Male	Right	001
sub-HML0693	65.0	Female	Right	003
sub-HML0694	63.0	Male	Right	001
sub-HML0695	68.0	Male	Right	001
sub-HML0696	61.0	Male	Right	001
sub-HML0697	73.0	Female	Right	004
sub-HML0698	55.0	Female	Left	004
sub-HML0699	64.0	Male	Right	004
sub-HML0700	56.0	Male	Right	003
sub-HML0702	70.0	Male	Right	003
sub-HML0703	56.0	Male	Right	003
sub-HML0704	57.0	Male	Right	001
sub-HML0705	57.0	Female	Right	001
sub-HML0706	67.0	Female	Right	001
sub-HML0712	64.0	Male	Right	001
sub-HML0713	61.0	Female	Right	002
sub-HML0715	50.0	Male	Right	001
sub-HML0716	76.0	Female	Right	002
sub-HML0718	59.0	Female	Right	002
sub-HML0720	76.0	Male	Left	004
sub-HML0721	61.0	Female	Ambidextrous	004
sub-HML0722	55.0	Female	Right	003
sub-HML0723	72.0	Female	Right	003
sub-HML0724	75.0	Female	Left	004
sub-HML0725	59.0	Male	Right	003
sub-HML0726	78.0	Male	Left	003
sub-HML0727	66.0	Female	Right	002
sub-HML0728	77.0	Female	Right	001
sub-HML0730	54.0	Female	Right	002
sub-HML0731	65.0	Female	Right	003
sub-HML0732	59.0	Female	Left	002
sub-HML0734	55.0	Male	Right	003
sub-HML0735	75.0	Female	Right	004
sub-HML0736	71.0	Female	Right	001
sub-HML0737	66.0	Male	Right	002
sub-HML0739	74.0	Female	Right	001
sub-HML0740	74.0	Female	Right	002
sub-HML0741	64.0	Male	Right	002
sub-HML0742	62.0	Female	Right	001
sub-HML0744	73.0	Male	Right	004
sub-HML0745	64.0	Female	Right	001
sub-HML0746	56.0	Female	Right	001
sub-HML0747	62.0	Female	Right	002
sub-HML0748	53.0	Female	Left	002
sub-HML0749	60.0	Male	Right	004
sub-HML0750	61.0	Female	Right	002
sub-HML0751	60.0	Female	Right	003
sub-HML0752	70.0	Female	Right	001
sub-HML0754	77.0	Female	Right	003
sub-HML0755	67.0	Female	Right	001
sub-HML0757	66.0	Female	Right	002
sub-HML0759	77.0	Male	Right	003
sub-HML0760	55.0	Female	Right	004
sub-HML0761	58.0	Female	Left	004
sub-HML0762	58.0	Female	Right	002
sub-HML0765	69.0	Female	Left	001
sub-HML0766	72.0	Female	Right	001
sub-HML0767	61.0	Female	Left	003
sub-HML0768	69.0	Male	Right	003
sub-HML0770	53.0	Female	Right	003
sub-HML0771	59.0	Female	Right	002
sub-HML0773	61.0	Male	Right	003
sub-HML0774	79.0	Female	Right	004
sub-HML0776	61.0	Female	Left	002
sub-HML0777	68.0	Female	Right	002
sub-HML0778	70.0	Female	Right	004
sub-HML0779	64.0	Male	Left	004
sub-HML0780	61.0	Female	Right	004
sub-HML0781	59.0	Female	Right	001
sub-HML0783	60.0	Female	Right	002
sub-HML0784	68.0	Male	Right	003
sub-HML0785	50.0	Female	Right	001
sub-HML0786	78.0	Female	Right	004
sub-HML0787	77.0	Male	Left	003
sub-HML0789	68.0	Female	Right	003
sub-HML0790	53.0	Male	Right	002
sub-HML0791	68.0	Male	Right	003
sub-HML0793	69.0	Female	Right	001
sub-HML0794	59.0	Female	Left	001
sub-HML0796	54.0	Male	Left	001
sub-HML0797	70.0	Female	Ambidextrous	001
sub-HML0798	69.0	Male	Right	001
sub-HML0799	77.0	Female	Right	004
sub-HML0800	63.0	Male	Right	004
sub-HML0801	66.0	Female	Right	002
sub-HML0803	52.0	Female	Right	004
sub-HML0804	57.0	Female	Right	003
sub-HML0806	72.0	Female	Right	004
sub-HML0808	56.0	Female	Right	004
sub-HML0809	57.0	Male	Right	001
sub-HML0810	72.0	Female	Right	002
sub-HML0811	56.0	Female	Right	001
sub-HML0812	67.0	Female	Right	003
sub-HML0813	54.0	Male	Right	003
sub-HML0814	57.0	Female	Right	001
sub-HML0815	54.0	Female	Right	003
sub-HML0816	67.0	Female	Right	004
sub-HML0817	51.0	Female	Left	004
sub-HML0819	54.0	Female	Right	002
sub-HML0820	63.0	Female	Right	001
sub-HML0821	72.0	Male	Right	003
sub-HML0822	77.0	Male	Right	004
sub-HML0825	67.0	Female	Right	002
sub-HML0830	66.0	Female	Right	003
sub-HML0831	66.0	Male	Right	003
sub-HML0832	77.0	Female	Right	004
sub-HML0834	69.0	Female	Right	003
sub-HML0835	63.0	Female	Right	002
sub-HML0836	61.0	Male	Ambidextrous	001
sub-HML0837	55.0	Male	Right	001
sub-HML0839	55.0	Female	Right	004
sub-HML0840	70.0	Female	Right	001
sub-HML0842	52.0	Female	Right	002
sub-HML0843	53.0	Female	Right	002
sub-HML0845	78.0	Female	Right	004
sub-HML0852	57.0	Female	Right	004
sub-HML0853	62.0	Female	Ambidextrous	003
sub-HML0854	64.0	Female	Right	001
sub-HML0856	53.0	Female	Right	003
sub-HML0858	55.0	Female	Right	001
sub-HML0859	51.0	Female	Right	001
